"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"SD01"	"SD15_01"	"SD15_01a"	"SD19_01"	"SD20_01"	"ST01"	"ST01_01"	"CO17_01"	"CO17_02"	"CO17_03"	"CO25_01"	"CO25_02"	"CO25_03"	"CO30_01"	"CO30_02"	"CO30_03"	"CO19_01"	"CO19_02"	"CO19_03"	"CO31_01"	"CO31_02"	"CO31_03"	"CO21_01"	"CO21_02"	"CO21_03"	"CO27_01"	"CO27_02"	"CO27_03"	"CO18_01"	"CO18_02"	"CO18_03"	"CO29_01"	"CO29_02"	"CO29_03"	"CO22_01"	"CO22_02"	"CO22_03"	"CO20_01"	"CO20_02"	"CO20_03"	"Z101_CP"	"Z101"	"Z102_CP"	"Z102"	"Z103_CP"	"Z103"	"OP01_01"	"OP02_01"	"OP03_01"	"OP04_01"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
49			"base"	"interview"	2022-08-08 18:14:01	1	"Hausfrau"	F	42		1	T	7	4	5				7	6	6	7	6	6				7	7	6				7	4	5	7	7	6	6	4	6	7	5	6	2	1	1	2	1	2					30	13	31	9	109	2	30	28	77	2	27	3	361		2022-08-08 18:20:02	T	F	13	13	15	2	1.25	39
104			"base"	"interview"	2022-08-08 18:36:18	1	"Hausfrau"	F	58		1	T	7	7	5	4	4	3							6	6	6				6	6	6	7	7	7	3	3	3	6	6	6	6	6	6	3	2	1	1	1	1					14	17	8	10	44	9	29	26	48	7	50	3	265		2022-08-08 18:40:43	T	F	13	13	15	2	1.12	9
123			"base"	"interview"	2022-08-08 19:40:32	2	"wissenschaftlicher Mitarbeiter"	F	36		1	T	5	5	5				6	4	6	7	6	7				7	6	7				3	3	3	7	7	7	7	7	7	5	4	5	3	1	2	2	2	2	"1. Das Beispiel passt nicht gut zum Szenario. In einem werden die label bzgl. einer ""Ausgangsperson"" gegeben. D.h. Petra hat die ""Kategorie"" Mutter, weil sie ausgehend von einer anderen Person die Mutter ist. Wenn unsere ""zentrale Person"" Max heißt, müsste es also heißen ""Petra ist Mutter, weil sie weiblich ist und Max ihr Kind ist.""

2. Die erste Erklärung ist schon sehr gut und enthält alle Bedingungen, die man wissen muss, um etwas als Mutter zu klassifizieren. Da hilft das negative Beispiel nicht wirklich."				16	15	78	11	294	19	69	29	85	9	31	3	595		2022-08-08 19:51:31	T	F	13	13	12	2	0.73	2
183			"base"	"interview"	2022-08-09 09:38:07	2	"Ingenieur "	F	32		1	T	7	7	7	6	6	5				7	7	7							4	7	6	7	7	7	6	7	6	5	7	6	7	7	7	4	1	2	1	2	1					5	13	19	6	56	7	48	15	55	7	81	2	314		2022-08-09 09:43:21	T	F	13	13	15	2	1.24	16
186			"base"	"interview"	2022-08-09 09:42:16	1	"Physiotherapeutin "	F	31		1	T	7	7	5				4	6	4				6	6	6	2	2	4				7	5	5	6	6	5	5	5	4	3	4	4	4	2	3	2	3	2					8	34	32	16	155	43	37	37	122	17	56	3	529		2022-08-09 09:51:36	T	F	13	13	15	2	0.65	1
189			"base"	"interview"	2022-08-09 09:46:01	2	"Student"	F	23		1	T	6	5	7				6	6	6				7	2	5	3	3	5				4	5	7	7	7	5	7	6	7	7	3	6	4	2	3	2	3	2					10	12	3	6	48	11	26	15	22	225	17	4	182		2022-08-09 09:52:41	T	F	13	13	15	2	1.49	36
193			"base"	"interview"	2022-08-09 09:50:03	2	"Handwerk"	F	24		1	T	4	4	2	4	4	6				4	6	4							2	2	2	4	4	4	3	3	6	3	3	5	4	4	4	5	1	3	1	3	1					17	23	2	6	67	2	30	2	28	1	15	2	195		2022-08-09 09:53:18	T	F	13	13	15	2	1.94	131
199			"base"	"interview"	2022-08-09 09:52:35	1		T	30		1	T	6	5	7	7	5	6							6	4	5				6	5	6	5	7	6	5	7	6	4	7	5	5	7	5	6	2	4	1	4	1					4	20	4	4	49	4	26	1	18	3	14	3	150		2022-08-09 09:55:05	T	F	13	13	15	2	2.25	98
200			"base"	"interview"	2022-08-09 09:52:47	2	"IoT Solution Architect"	F	25		1	T	6	5	5				3	5	5				5	6	5				7	7	7	6	5	5	5	5	5	3	5	3	6	6	6	7	2	5	1	6	2					25	161	17	10	557	31	87	28	79	7	65	3	436		2022-08-09 10:10:37	T	F	13	13	15	2	0.62	1
202			"base"	"interview"	2022-08-09 09:53:03	1	"Infosec"	F	30		1	T	5	5	6				5	5	5	5	5	6				5	5	5				5	5	6	5	5	5	5	5	5	6	6	6	6	1	5	2	5	2					6	11	11	8	100	48	33	202	29	31	64	2	305		2022-08-09 10:02:08	T	F	13	13	15	2	1	13
204			"base"	"interview"	2022-08-09 09:57:43	2	"Informatiker"	F	30		1	T	5	7	1	7	7	1							6	5	1				7	7	1	5	7	1	7	7	1	7	7	1	5	5	1	7	2	6	1	6	1	"Die Frage ist nach der Definition einer Mutter: 
Eine Frau kann ein Kind haben, es jedoch nicht großziehen.
Genauso kann eine Frau kein biologisches Kind jedoch eines adoptiert haben oder aufziehen, wodurch diese die Attribute einer Mutter eher erfüllt, als die erstgenannte.
Eine Information über eine Entscheidung hilft nicht bei der Kontrolle einer KI, solange sie nicht durch Inputs gelenkt werden kann (die Quelldaten können auch von Facebook stammen ohne dass wir Einfluss auf deren Qualität haben oder die KI lenken / kontrollieren können)"	"Die Klassifikationsmerkmale sind temporal bedingt. Hätte es zB einen Dinosaurier gegeben, der ebenfalls dort gelebt und Eier gelegt hätte, wäre er auch ein Pinguin. Auch wenn das Verständnis der Entscheidung dadurch gegeben ist, ist sie doch nicht allgemeingültig genug um der KI so zu vertrauen "			6	18	3	3	383	2	285	17	32	1	59	2	249		2022-08-09 10:11:14	T	F	13	13	9	1	1.65	83
206			"base"	"interview"	2022-08-09 10:02:31	2	"Informatik "	F	40		1	T	7	7	4	7	7	4				7	7	4							7	7	4	7	7	4	7	7	4	7	7	4	7	7	4	7	1	5	1	5	1					22	24	15	39	55	8	39	54	28	1	24	2	282		2022-08-09 10:07:42	T	F	13	13	15	2	1.2	40
210			"base"	"interview"	2022-08-09 10:10:46	2	"Software Entwickler "	F	33		1	T	7	7	7	7	3	7				1	4	4				7	7	7				7	7	7	7	7	7	4	6	7	7	7	7	8	1	6	2	7	1					2	12	2	12	368	8	66	6	54	11	42	2	284		2022-08-09 10:20:31	T	F	13	13	15	2	1.47	58
213			"base"	"interview"	2022-08-09 10:16:59	2	"Musiker"	F	30		1	T	7	7	7				7	7	7	7	7	7				7	7	7				7	7	7	7	7	7	7	7	7	7	7	7	9	1	7	2	7	2					9	30	6	9	191	2	25	3	64	3	25	49	370		2022-08-09 10:23:55	T	F	13	13	15	2	1.51	64
223			"base"	"interview"	2022-08-09 10:41:24	1	"Graphic Design "	F	31		1	T	6	5	7	6	5	6							5	6	6				5	5	7	4	5	3	7	7	4	5	4	7	6	5	5	9	2	8	1	8	1	"Die Begründung ist stärker posetiv als die Ablehnung für mich. "				6	18	17	13	238	16	52	12	45	3	47	7	474		2022-08-09 10:49:18	T	F	13	13	12	2	1.06	13
